emp_no,title,fullname,from_date_and_to_date
16461,Senior Staff,Remmert Schahn,1994-09-06 and 9999-01-01
16461,Staff,Remmert Schahn,1986-09-06 and 1994-09-06
16528,Assistant Engineer,Gaurav Swick,1996-05-07 and 2001-05-07
16528,Engineer,Gaurav Swick,2001-05-07 and 9999-01-01
17013,Senior Staff,Morris Garigliano,2000-05-23 and 9999-01-01
17013,Staff,Morris Garigliano,1995-05-24 and 2000-05-23
17206,Engineer,Berry DeMori,1992-12-27 and 1998-12-27
17206,Senior Engineer,Berry DeMori,1998-12-27 and 9999-01-01
17369,Engineer,Yaghout Kenevan,1993-01-28 and 1998-01-28
17369,Senior Engineer,Yaghout Kenevan,1998-01-28 and 9999-01-01
17447,Staff,Zengping Boreale,1998-12-16 and 9999-01-01
17731,Assistant Engineer,Gennady Roison,1989-12-06 and 1997-12-06
17731,Engineer,Gennady Roison,1997-12-06 and 9999-01-01
17970,Technique Leader,Filipp Carrere,1989-01-09 and 9999-01-01
17988,Engineer,Mabhin Calkin,1989-11-30 and 1997-11-30
17988,Senior Engineer,Mabhin Calkin,1997-11-30 and 9999-01-01
18021,Engineer,Adil Matzke,1987-05-08 and 1995-05-08
18021,Senior Engineer,Adil Matzke,1995-05-08 and 9999-01-01
18424,Engineer,Filipp Rousseau,1995-06-07 and 2002-06-07
18424,Senior Engineer,Filipp Rousseau,2002-06-07 and 9999-01-01
18583,Staff,Stafford Honglei,1998-08-16 and 9999-01-01
18617,Senior Staff,Surveyors Crouzet,1998-04-24 and 9999-01-01
18617,Staff,Surveyors Crouzet,1989-04-24 and 1998-04-24
18810,Engineer,Taiji Jarecki,1991-06-27 and 1999-06-27
18810,Senior Engineer,Taiji Jarecki,1999-06-27 and 9999-01-01
19236,Engineer,Elzbieta Morris,1988-07-12 and 1993-07-12
19236,Senior Engineer,Elzbieta Morris,1993-07-12 and 9999-01-01
19350,Senior Staff,Satoru Yoshizawa,1999-03-27 and 9999-01-01
19350,Staff,Satoru Yoshizawa,1994-03-27 and 1999-03-27
19803,Engineer,Ziva Kowalchuk,1987-06-13 and 1992-06-12
19803,Senior Engineer,Ziva Kowalchuk,1992-06-12 and 9999-01-01
20100,Senior Staff,Utz Heuter,1995-06-15 and 9999-01-01
20100,Staff,Utz Heuter,1986-06-15 and 1995-06-15
20128,Senior Staff,Kazunori Peak,1999-08-13 and 9999-01-01
20129,Engineer,Rafael Skafidas,1991-03-28 and 2000-03-27
20129,Senior Engineer,Rafael Skafidas,2000-03-27 and 9999-01-01
20248,Staff,Vidar Demri,1999-12-31 and 9999-01-01
20313,Engineer,Candida Benveniste,1999-01-20 and 9999-01-01
20500,Senior Staff,Christoph Trystram,1998-10-15 and 9999-01-01
20500,Staff,Christoph Trystram,1993-10-15 and 1998-10-15
20885,Engineer,Otmar Rothenberg,1989-03-14 and 1996-03-14
20885,Senior Engineer,Otmar Rothenberg,1996-03-14 and 9999-01-01
21181,Assistant Engineer,Jianhui Cangellaris,1991-10-06 and 1999-10-06
21181,Engineer,Jianhui Cangellaris,1999-10-06 and 9999-01-01
21188,Engineer,Piyush Danecki,2000-01-08 and 9999-01-01
21546,Senior Staff,Yongmin Lanteri,1988-02-16 and 9999-01-01
21843,Senior Engineer,Karsten Azadmanesh,1985-11-29 and 9999-01-01
21909,Senior Staff,Mohammed Brizzi,1998-12-28 and 9999-01-01
21909,Staff,Mohammed Brizzi,1991-12-28 and 1998-12-28
22185,Assistant Engineer,Huai Birch,1996-03-26 and 2002-03-26
22185,Engineer,Huai Birch,2002-03-26 and 9999-01-01
22415,Senior Staff,Perla Jumpertz,1994-08-24 and 9999-01-01
22451,Senior Staff,Jasminko Bresenham,1996-12-15 and 9999-01-01
22451,Staff,Jasminko Bresenham,1987-12-16 and 1996-12-15
22455,Senior Staff,Barry Unno,1999-11-16 and 9999-01-01
22455,Staff,Barry Unno,1990-11-16 and 1999-11-16
22926,Engineer,Manibrata Genther,1988-01-15 and 1996-01-15
22926,Senior Engineer,Manibrata Genther,1996-01-15 and 9999-01-01
23396,Technique Leader,Hilari Fairtlough,1986-12-15 and 9999-01-01
24080,Technique Leader,Jaana Perez,1996-03-11 and 9999-01-01
24205,Senior Engineer,Roddy Rubsam,1993-09-19 and 9999-01-01
24377,Engineer,Lubomir Wroclawski,1993-07-25 and 2000-07-25
24377,Senior Engineer,Lubomir Wroclawski,2000-07-25 and 9999-01-01
24394,Staff,Zhonghui Conta,1994-09-10 and 9999-01-01
24553,Senior Staff,Anwar Passafiume,1994-01-30 and 9999-01-01
24553,Staff,Anwar Passafiume,1987-01-30 and 1994-01-30
24571,Engineer,Cordelia Gischer,1989-03-14 and 1995-03-14
24571,Senior Engineer,Cordelia Gischer,1995-03-14 and 9999-01-01
25488,Senior Staff,Ingmar Basawa,1997-11-08 and 9999-01-01
25488,Staff,Ingmar Basawa,1991-11-09 and 1997-11-08
26629,Senior Staff,Nevin Rodham,1998-12-14 and 9999-01-01
26671,Engineer,Jiakeng Kalorkoti,1994-12-25 and 2001-12-25
26671,Senior Engineer,Jiakeng Kalorkoti,2001-12-25 and 9999-01-01
26788,Engineer,Zongyan Dalphin,1988-04-23 and 1993-04-23
26788,Senior Engineer,Zongyan Dalphin,1993-04-23 and 9999-01-01
27331,Senior Staff,Wanqing Krohm,1999-01-22 and 9999-01-01
27331,Staff,Wanqing Krohm,1991-01-22 and 1999-01-22
27378,Senior Staff,Piyawadee Leppanen,1999-02-25 and 9999-01-01
27620,Engineer,Shuji Kandlur,1990-03-02 and 1997-03-02
27620,Senior Engineer,Shuji Kandlur,1997-03-02 and 9999-01-01
27686,Senior Staff,Manu Rosiles,1998-03-03 and 9999-01-01
27699,Engineer,Falguni Pezzoli,1996-12-23 and 9999-01-01
27767,Senior Staff,Tooru Veldwijk,2000-11-21 and 9999-01-01
27767,Staff,Tooru Veldwijk,1993-11-21 and 2000-11-21
28193,Engineer,Xinglin Mitsuhashi,1988-12-14 and 1997-12-14
28193,Senior Engineer,Xinglin Mitsuhashi,1997-12-14 and 9999-01-01
28974,Senior Engineer,Chenxi Sundgren,1986-09-02 and 9999-01-01
28988,Technique Leader,Tua Giveon,1998-09-09 and 9999-01-01
29130,Staff,Xumin Thorensen,1998-04-26 and 9999-01-01
29265,Senior Staff,Gilbert Calkin,1994-03-21 and 9999-01-01
29265,Staff,Gilbert Calkin,1988-03-21 and 1994-03-21
29380,Assistant Engineer,Satoru Vidal,1998-05-02 and 9999-01-01
29418,Assistant Engineer,Valery Mersereau,1998-07-01 and 9999-01-01
29679,Senior Engineer,Kolar Steenbeek,1986-10-18 and 9999-01-01
29782,Senior Engineer,Jouko Hellwagner,1994-12-21 and 9999-01-01
29954,Senior Engineer,Pranay Giarratana,1992-09-29 and 9999-01-01
30007,Engineer,Kousuke Vecchio,1990-02-23 and 1999-02-23
30007,Senior Engineer,Kousuke Vecchio,1999-02-23 and 9999-01-01
30035,Senior Staff,Tetsushi Conta,1995-07-04 and 9999-01-01
30154,Technique Leader,Mayuko Skafidas,1999-04-19 and 9999-01-01
30182,Engineer,Leon Potthoff,1985-12-08 and 1993-12-08
30182,Senior Engineer,Leon Potthoff,1993-12-08 and 9999-01-01
30465,Engineer,Randi Avouris,1986-07-16 and 1991-07-16
30465,Senior Engineer,Randi Avouris,1991-07-16 and 9999-01-01
30484,Staff,Sailaja Chvatal,1999-05-18 and 9999-01-01
30695,Senior Engineer,Gudjon Majewski,1999-10-26 and 9999-01-01
30938,Senior Staff,Yakkov Samarati,2000-05-22 and 9999-01-01
30938,Staff,Yakkov Samarati,1995-05-23 and 2000-05-22
31147,Senior Staff,Divine Sidhu,1989-07-05 and 9999-01-01
31188,Technique Leader,Leandro Gist,1993-02-03 and 9999-01-01
31207,Senior Engineer,Abdelwaheb Dulin,1993-08-05 and 9999-01-01
31341,Senior Staff,Oksana Zultner,1997-03-22 and 9999-01-01
31341,Staff,Oksana Zultner,1991-03-23 and 1997-03-22
31514,Engineer,Harngdar Schapire,1996-11-09 and 2001-11-09
31514,Senior Engineer,Harngdar Schapire,2001-11-09 and 9999-01-01
31568,Staff,Mark Lalonde,1996-11-24 and 9999-01-01
31909,Engineer,Murthy Peek,1994-07-19 and 9999-01-01
32347,Senior Staff,Terresa Peres,1997-09-15 and 9999-01-01
32347,Staff,Terresa Peres,1990-09-15 and 1997-09-15
32552,Assistant Engineer,Atreye Stanger,1993-09-10 and 1999-09-10
32552,Engineer,Atreye Stanger,1999-09-10 and 9999-01-01
32649,Senior Staff,Ingmar Nannarelli,1988-06-10 and 9999-01-01
32714,Staff,Radoslaw Maliniak,1997-11-17 and 9999-01-01
32844,Engineer,Tadahiko Melton,1995-01-07 and 9999-01-01
33025,Senior Staff,Jessie Thorelli,1999-12-16 and 9999-01-01
33215,Technique Leader,Steen Fasbender,1993-02-14 and 9999-01-01
33722,Senior Engineer,Anwar Collette,1994-03-22 and 9999-01-01
34077,Senior Staff,Angel Sichman,1997-11-16 and 9999-01-01
34077,Staff,Angel Sichman,1988-11-16 and 1997-11-16
34261,Senior Staff,Kyoichi Callaway,1996-12-29 and 9999-01-01
34261,Staff,Kyoichi Callaway,1990-12-30 and 1996-12-29
34446,Senior Engineer,Chinhyun Bauknecht,1986-12-19 and 9999-01-01
34452,Engineer,Naftaly Foong,1991-05-10 and 2000-05-09
34452,Senior Engineer,Naftaly Foong,2000-05-09 and 9999-01-01
34505,Senior Staff,Felicidad Kumaresan,2001-09-06 and 9999-01-01
34505,Staff,Felicidad Kumaresan,1994-09-06 and 2001-09-06
34533,Senior Engineer,Erzsebet Shigei,1991-01-21 and 9999-01-01
34780,Staff,Moni Kohling,1994-07-21 and 9999-01-01
34788,Senior Engineer,Ennio Babu,1994-08-31 and 9999-01-01
34936,Technique Leader,Bokyung Stamatiou,1991-02-12 and 9999-01-01
35044,Engineer,Jiang Waschkowski,1989-05-27 and 1997-05-27
35044,Senior Engineer,Jiang Waschkowski,1997-05-27 and 9999-01-01
35087,Senior Staff,Leif Ashish,2001-10-14 and 9999-01-01
35087,Staff,Leif Ashish,1994-10-14 and 2001-10-14
35441,Engineer,Chandrasekaran Peek,1988-02-07 and 1993-02-06
35441,Senior Engineer,Chandrasekaran Peek,1993-02-06 and 9999-01-01
35642,Engineer,Ashish Talmon,1995-06-13 and 2002-06-13
35642,Senior Engineer,Ashish Talmon,2002-06-13 and 9999-01-01
35793,Senior Staff,Oscar Kusalik,1996-05-10 and 9999-01-01
35793,Staff,Oscar Kusalik,1991-05-11 and 1996-05-10
35798,Senior Engineer,Ulf Oberman,1997-03-15 and 9999-01-01
36521,Senior Staff,Serif Gladwell,1993-03-05 and 9999-01-01
36521,Staff,Serif Gladwell,1987-03-06 and 1993-03-05
36626,Senior Staff,Fen Genin,1986-05-09 and 9999-01-01
36733,Staff,Uma Reinhard,1997-11-01 and 9999-01-01
36844,Staff,Hailing Levergood,2000-01-12 and 9999-01-01
36982,Engineer,Kotesh Rajala,1992-06-23 and 2000-06-23
36982,Senior Engineer,Kotesh Rajala,2000-06-23 and 9999-01-01
37070,Senior Staff,Jeong Undy,1993-02-13 and 9999-01-01
37070,Staff,Jeong Undy,1985-02-13 and 1993-02-13
37945,Senior Engineer,Suzette Butterworth,1994-02-19 and 9999-01-01
38043,Engineer,Michaela Randi,1985-11-23 and 1994-11-23
38043,Senior Engineer,Michaela Randi,1994-11-23 and 9999-01-01
38103,Engineer,Masasuke Babu,1988-03-31 and 1993-03-31
38103,Senior Engineer,Masasuke Babu,1993-03-31 and 9999-01-01
38168,Senior Staff,Fumiko Deverell,1996-08-14 and 9999-01-01
38168,Staff,Fumiko Deverell,1987-08-15 and 1996-08-14
38550,Senior Engineer,JoAnne Baez,1987-02-16 and 9999-01-01
38593,Engineer,Huei Orsini,1986-06-04 and 1995-06-04
38593,Senior Engineer,Huei Orsini,1995-06-04 and 9999-01-01
38947,Senior Staff,Shuichi Ruemmler,1998-03-08 and 9999-01-01
38947,Staff,Shuichi Ruemmler,1991-03-08 and 1998-03-08
39000,Senior Staff,Martijn Vendrig,2002-03-03 and 9999-01-01
39000,Staff,Martijn Vendrig,1997-03-03 and 2002-03-03
39036,Staff,Changho Cappelli,1996-05-04 and 9999-01-01
39301,Senior Staff,Rimon Kawashima,1998-02-05 and 9999-01-01
39301,Staff,Rimon Kawashima,1992-02-06 and 1998-02-05
39341,Engineer,Mahmut Lampe,1985-05-11 and 1994-05-11
39341,Senior Engineer,Mahmut Lampe,1994-05-11 and 9999-01-01
39952,Staff,Otmar Sudbeck,1998-07-22 and 9999-01-01
40269,Senior Staff,Toshiki Ghazalie,2000-12-04 and 9999-01-01
40269,Staff,Toshiki Ghazalie,1991-12-05 and 2000-12-04
40283,Engineer,Sudhanshu Boissier,1985-05-11 and 1993-05-11
40283,Senior Engineer,Sudhanshu Boissier,1993-05-11 and 9999-01-01
40301,Senior Engineer,Spyrose Felder,1996-06-16 and 9999-01-01
40536,Engineer,Harngdar Bernardinello,1988-02-29 and 1996-02-29
40536,Senior Engineer,Harngdar Bernardinello,1996-02-29 and 9999-01-01
40765,Senior Staff,Michaela Ramsak,2001-12-21 and 9999-01-01
40765,Staff,Michaela Ramsak,1992-12-21 and 2001-12-21
40773,Senior Staff,Shimshon Aingworth,1991-04-13 and 9999-01-01
40773,Staff,Shimshon Aingworth,1986-04-13 and 1991-04-13
40983,Technique Leader,Marla Cherinka,1986-12-01 and 9999-01-01
41114,Technique Leader,Petter Thummel,1995-12-24 and 9999-01-01
41137,Senior Staff,Bikash Buchter,1992-11-22 and 9999-01-01
41137,Staff,Bikash Buchter,1987-11-23 and 1992-11-22
41357,Engineer,Willard Vernadat,1997-03-04 and 9999-01-01
41518,Senior Engineer,Keung Schapiro,1998-04-19 and 9999-01-01
41520,Senior Engineer,Xiong Uhrik,1988-03-21 and 9999-01-01
41609,Senior Staff,Yucai Simmen,1987-10-13 and 9999-01-01
42778,Senior Staff,Shuji Remmers,1996-12-17 and 9999-01-01
42778,Staff,Shuji Remmers,1987-12-18 and 1996-12-17
42911,Engineer,Brigham Eterovic,1994-10-08 and 1999-10-08
42911,Senior Engineer,Brigham Eterovic,1999-10-08 and 9999-01-01
42950,Senior Staff,Shaleah Eickenmeyer,1993-10-09 and 9999-01-01
42955,Engineer,Yucel Lortz,1995-02-21 and 9999-01-01
43154,Senior Staff,Maha Waterhouse,2002-07-04 and 9999-01-01
43154,Staff,Maha Waterhouse,1997-07-04 and 2002-07-04
43733,Senior Staff,Huei Boguraev,1998-12-31 and 9999-01-01
43733,Staff,Huei Boguraev,1993-12-31 and 1998-12-31
43848,Engineer,Phillip Oxenboll,1999-05-26 and 9999-01-01
44054,Engineer,Alenka Ritcey,1997-02-09 and 9999-01-01
44265,Engineer,Maria Eppinger,1997-01-30 and 9999-01-01
44540,Senior Engineer,Mingzeng Sadowski,1989-11-12 and 9999-01-01
44900,Senior Staff,Mark Schwaller,2001-08-10 and 9999-01-01
44900,Staff,Mark Schwaller,1994-08-10 and 2001-08-10
44959,Engineer,Volkmar Uhrik,1988-01-16 and 1995-01-16
44959,Senior Engineer,Volkmar Uhrik,1995-01-16 and 9999-01-01
44962,Assistant Engineer,Sariel Wynblatt,1996-05-18 and 9999-01-01
45162,Engineer,Dulce Speel,1987-10-19 and 1996-10-18
45162,Senior Engineer,Dulce Speel,1996-10-18 and 9999-01-01
46000,Senior Staff,Zhaofang Penn,2002-07-24 and 9999-01-01
46000,Staff,Zhaofang Penn,1997-07-24 and 2002-07-24
46328,Senior Staff,Wuxu Trogemann,1997-01-27 and 9999-01-01
46811,Senior Engineer,Junsik Berendt,1988-04-27 and 9999-01-01
46834,Senior Staff,Tooru Daescu,1998-03-20 and 9999-01-01
46943,Engineer,Pasqua Maraist,1993-12-06 and 1998-12-06
46943,Senior Engineer,Pasqua Maraist,1998-12-06 and 9999-01-01
47016,Senior Staff,Toong Litecky,1994-03-01 and 9999-01-01
47016,Staff,Toong Litecky,1989-03-01 and 1994-03-01
47139,Engineer,Marco Usdin,1996-10-29 and 9999-01-01
47262,Engineer,Gonzalo Binkley,1985-08-16 and 1990-08-16
47262,Senior Engineer,Gonzalo Binkley,1990-08-16 and 9999-01-01
47515,Senior Engineer,Naraig Jenevein,1987-01-18 and 9999-01-01
47702,Senior Staff,Juyoung Vieri,1999-08-12 and 9999-01-01
47702,Staff,Juyoung Vieri,1991-08-12 and 1999-08-12
47708,Senior Staff,Edwin Haldar,1995-07-12 and 9999-01-01
48275,Senior Staff,Sariel Massonet,1993-11-19 and 9999-01-01
48275,Staff,Sariel Massonet,1987-11-20 and 1993-11-19
48690,Staff,Hitomi Schaap,1999-09-27 and 9999-01-01
48882,Engineer,Leen Lamparter,1993-06-07 and 2001-06-07
48882,Senior Engineer,Leen Lamparter,2001-06-07 and 9999-01-01
48904,Senior Staff,Yuichiro Malabarba,1999-03-07 and 9999-01-01
48904,Staff,Yuichiro Malabarba,1994-03-07 and 1999-03-07
48947,Senior Staff,Filipp Akaboshi,1992-05-20 and 9999-01-01
49010,Senior Staff,Kazuhisa Benantar,1994-10-23 and 9999-01-01
49010,Staff,Kazuhisa Benantar,1989-10-23 and 1994-10-23
49017,Engineer,Filipp Flanders,1990-11-26 and 1999-11-26
49017,Senior Engineer,Filipp Flanders,1999-11-26 and 9999-01-01
49119,Engineer,Lena Peek,1991-05-16 and 1997-05-15
49119,Senior Engineer,Lena Peek,1997-05-15 and 9999-01-01
49177,Engineer,Tze Bach,1999-03-09 and 9999-01-01
49464,Staff,Siddarth Cappelletti,1999-09-10 and 9999-01-01
49477,Senior Staff,Baocai Leaver,1998-08-05 and 9999-01-01
50293,Engineer,Xinan Rindone,1996-10-08 and 9999-01-01
50311,Senior Engineer,Mooi Stafford,1996-10-06 and 9999-01-01
50453,Staff,Aron Harbusch,1997-10-02 and 9999-01-01
50670,Senior Staff,Boguslaw Snedden,1993-02-20 and 9999-01-01
50670,Staff,Boguslaw Snedden,1985-02-20 and 1993-02-20
50831,Senior Engineer,Marie Khalid,1990-10-27 and 9999-01-01
51036,Staff,Chriss Fasbender,1995-05-23 and 9999-01-01
51057,Senior Staff,Theirry Albarhamtoshy,1996-09-26 and 9999-01-01
51057,Staff,Theirry Albarhamtoshy,1991-09-27 and 1996-09-26
51060,Engineer,Youngkon Rohrbach,1989-10-20 and 1998-10-20
51060,Senior Engineer,Youngkon Rohrbach,1998-10-20 and 9999-01-01
51142,Engineer,Rosine Lakshmanan,1986-01-31 and 1991-01-31
51142,Senior Engineer,Rosine Lakshmanan,1991-01-31 and 9999-01-01
52038,Senior Engineer,Chikako Armand,1985-05-18 and 9999-01-01
52040,Senior Staff,Phule Heijenga,1998-02-21 and 9999-01-01
52040,Staff,Phule Heijenga,1992-02-22 and 1998-02-21
52283,Senior Staff,Trygve Krupka,2001-03-11 and 9999-01-01
52283,Staff,Trygve Krupka,1994-03-11 and 2001-03-11
52386,Senior Staff,Adas Denti,1995-05-30 and 9999-01-01
52386,Staff,Adas Denti,1986-05-30 and 1995-05-30
52590,Senior Staff,Jouni Munoz,2000-11-25 and 9999-01-01
52590,Staff,Jouni Munoz,1995-11-26 and 2000-11-25
52599,Engineer,Augustine Mungall,1987-08-31 and 1996-08-30
52599,Senior Engineer,Augustine Mungall,1996-08-30 and 9999-01-01
52639,Senior Staff,Arup Colorni,1996-02-05 and 9999-01-01
52770,Senior Staff,Shugo Yurek,1998-08-28 and 9999-01-01
52770,Staff,Shugo Yurek,1992-08-28 and 1998-08-28
52778,Technique Leader,Alain Penn,1986-05-03 and 9999-01-01
52956,Engineer,Khalil Picci,1987-03-21 and 1992-03-20
52956,Senior Engineer,Khalil Picci,1992-03-20 and 9999-01-01
52970,Engineer,Lobel Werthner,1988-03-17 and 1997-03-17
52970,Senior Engineer,Lobel Werthner,1997-03-17 and 9999-01-01
53278,Senior Staff,Premsyl Lortz,1999-02-01 and 9999-01-01
53278,Staff,Premsyl Lortz,1993-02-01 and 1999-02-01
53314,Staff,Eberhardt Carrera,1999-02-23 and 9999-01-01
53431,Senior Staff,Sham Vasanthakumar,1985-10-24 and 9999-01-01
53499,Engineer,Zdislav Mandelberg,1994-09-11 and 2000-09-10
53499,Senior Engineer,Zdislav Mandelberg,2000-09-10 and 9999-01-01
53597,Engineer,Jiafu Marchegay,1985-03-02 and 1992-03-02
53597,Senior Engineer,Jiafu Marchegay,1992-03-02 and 9999-01-01
53874,Senior Staff,Bodo Schade,1995-02-14 and 9999-01-01
53874,Staff,Bodo Schade,1986-02-14 and 1995-02-14
53924,Engineer,Arnould Gaughan,1991-01-23 and 1998-01-23
53924,Senior Engineer,Arnould Gaughan,1998-01-23 and 9999-01-01
54198,Engineer,Shaowen Segond,1986-01-06 and 1993-01-06
54198,Senior Engineer,Shaowen Segond,1993-01-06 and 9999-01-01
54795,Senior Staff,Sumant Nergos,2000-05-07 and 9999-01-01
54795,Staff,Sumant Nergos,1993-05-07 and 2000-05-07
54800,Staff,Breannda Cangellaris,2000-01-27 and 9999-01-01
55640,Engineer,Adit Syrotiuk,1993-07-16 and 1999-07-16
54632,Senior Staff,Etsuo Serot,1997-06-14 and 9999-01-01
54632,Staff,Etsuo Serot,1989-06-14 and 1997-06-14
55640,Senior Engineer,Adit Syrotiuk,1999-07-16 and 9999-01-01
55687,Senior Engineer,Shih Lindqvist,1995-03-29 and 9999-01-01
55799,Engineer,Jianwen Litzler,1987-06-17 and 1993-06-16
55799,Senior Engineer,Jianwen Litzler,1993-06-16 and 9999-01-01
56105,Engineer,Makato Remmers,1989-04-16 and 1994-04-16
55857,Senior Staff,Adin Scallan,1996-09-14 and 9999-01-01
55857,Staff,Adin Scallan,1987-09-15 and 1996-09-14
56105,Senior Engineer,Makato Remmers,1994-04-16 and 9999-01-01
56415,Senior Staff,Sigeru Nivat,1999-10-24 and 9999-01-01
56209,Engineer,Remzi Douceur,1992-12-01 and 1998-12-01
56209,Senior Engineer,Remzi Douceur,1998-12-01 and 9999-01-01
56415,Staff,Sigeru Nivat,1991-10-24 and 1999-10-24
56428,Senior Staff,Olivera Hanabata,1992-11-09 and 9999-01-01
56428,Staff,Olivera Hanabata,1986-11-10 and 1992-11-09
56829,Engineer,Nagui Gruenwald,1995-12-24 and 9999-01-01
56682,Assistant Engineer,Roded Picco,1993-11-06 and 9999-01-01
56847,Senior Engineer,Menkae Chinin,1989-08-19 and 9999-01-01
57934,Engineer,Sanjoy Boudaillier,1989-12-27 and 1997-12-27
57934,Senior Engineer,Sanjoy Boudaillier,1997-12-27 and 9999-01-01
58384,Engineer,Mariusz Vural,1993-11-14 and 2001-11-14
58141,Staff,Bezalel Karner,1994-09-27 and 9999-01-01
58147,Senior Staff,Shigenori Sullins,1988-02-24 and 9999-01-01
58454,Engineer,Ziya Zambonelli,1999-06-29 and 9999-01-01
58384,Senior Engineer,Mariusz Vural,2001-11-14 and 9999-01-01
58990,Engineer,Palash Trelles,1998-11-18 and 9999-01-01
58497,Senior Staff,Yechiam Cairo,1996-07-12 and 9999-01-01
58819,Senior Staff,Gennady Liesche,1987-12-02 and 9999-01-01
59195,Technique Leader,Ronnie Pollock,1990-06-19 and 9999-01-01
60000,Assistant Engineer,Heekeun Emmart,1995-09-23 and 2001-09-22
59640,Staff,Zita Hiltgen,1999-01-26 and 9999-01-01
59869,Senior Staff,Zsolt Riefers,1994-09-25 and 9999-01-01
59869,Staff,Zsolt Riefers,1987-09-25 and 1994-09-25
59966,Technique Leader,Steen Salvesen,1993-02-03 and 9999-01-01
60238,Staff,Erzsebet Claffy,1997-03-03 and 9999-01-01
60000,Engineer,Heekeun Emmart,2001-09-22 and 9999-01-01
60091,Senior Staff,Surveyors Bade,1996-04-10 and 9999-01-01
60559,Engineer,Jeanna Stemann,1988-08-29 and 1996-08-29
60559,Senior Engineer,Jeanna Stemann,1996-08-29 and 9999-01-01
60091,Staff,Surveyors Bade,1990-04-11 and 1996-04-10
60821,Senior Staff,Moty Mersereau,1999-09-03 and 9999-01-01
60875,Engineer,Rildo Masaki,1990-01-14 and 1997-01-14
60875,Senior Engineer,Rildo Masaki,1997-01-14 and 9999-01-01
60821,Staff,Moty Mersereau,1991-09-03 and 1999-09-03
60845,Engineer,Bedir Siegrist,1997-05-13 and 9999-01-01
60959,Senior Staff,Tetsushi Sridhar,1997-01-12 and 9999-01-01
60959,Staff,Tetsushi Sridhar,1989-01-12 and 1997-01-12
61147,Staff,Leszek Werthner,1999-03-03 and 9999-01-01
61253,Engineer,Cheong Uhrik,1996-06-04 and 2001-06-04
61253,Senior Engineer,Cheong Uhrik,2001-06-04 and 9999-01-01
61377,Senior Staff,Dannz Ohori,1994-01-17 and 9999-01-01
61377,Staff,Dannz Ohori,1988-01-18 and 1994-01-17
61541,Engineer,Kasidit Papsdorf,1993-08-17 and 1999-08-17
61541,Senior Engineer,Kasidit Papsdorf,1999-08-17 and 9999-01-01
61873,Assistant Engineer,Woody Rusmann,1993-02-26 and 2002-02-26
61873,Engineer,Woody Rusmann,2002-02-26 and 9999-01-01
62245,Engineer,Adel Bressoud,1995-08-30 and 9999-01-01
62033,Engineer,Heeju Cappelli,1987-01-15 and 1994-01-15
62033,Senior Engineer,Heeju Cappelli,1994-01-15 and 9999-01-01
63294,Engineer,Tetsushi Tanemo,1997-03-01 and 2002-03-01
62046,Engineer,Karlis Nanard,1992-09-19 and 2001-09-19
