emp_no,fullname,from_date,salary,title
11292,Souichi Sichman,1996-02-12,40000,Senior Engineer
11294,Tru Segond,1999-06-13,43768,Senior Engineer
11295,Abdelkader Lanzelotte,1990-05-15,66622,Senior Staff
11296,Hironobu Kenevan,1994-09-26,40000,Senior Engineer
11317,Shigeaki Hagimont,2000-09-07,40000,Senior Staff
11319,Pranas Marrakchi,1998-11-01,40000,Assistant Engineer
11320,Atilio McAlpine,1998-04-06,45118,Senior Staff
11322,Nathalie Pocchiola,1999-07-08,43021,Senior Engineer
11324,Kauko Billingsley,1985-08-29,54288,Senior Engineer
11325,Samphel Rossi,1999-01-10,62458,Engineer
11326,Munenori Plesums,1999-02-19,40000,Senior Engineer
11338,Kwangsub Hanratty,1998-10-28,82210,Senior Staff
11339,Flemming Massonet,1989-12-19,40000,Senior Engineer
11340,Aris Bala,1998-09-11,48813,Senior Engineer
11343,Susanne Erez,1995-02-27,43306,Senior Engineer
11347,Anneli Jonsson,1992-04-19,41524,Senior Engineer
11349,Yurii Hammerschmidt,1999-06-28,46356,Engineer
11365,Toshimi Shinomoto,1997-12-18,56463,Engineer
11373,Yongmao Keohane,2000-07-18,45912,Senior Staff
11376,Valery Suomi,1994-03-14,46964,Senior Staff
11380,Kenroku Pelc,2001-04-18,53345,Senior Engineer
11385,Shiv Ullian,1999-08-08,40000,Engineer
11386,Alselm Assaf,1993-11-29,47726,Senior Engineer
11393,Junsik Junot,1992-04-30,40000,Senior Engineer
11396,Anneke Servieres,1997-02-04,48918,Engineer
11398,Oscar Peir,2001-09-07,44625,Senior Staff
11401,Huan Merey,1995-04-15,52021,Staff
11404,Bedrich Borovoy,1990-09-25,42907,Technique Leader
11406,Eberhardt Gini,1996-03-13,71834,Senior Staff
11410,Gro Vendrig,1999-10-25,45665,Engineer
11415,Sanjiv Anido,1996-12-07,40000,Engineer
11417,Anneli Cyne,1992-12-21,74114,Technique Leader
11418,Satosi Cooley,1991-12-30,40000,Senior Staff
11420,Tsutomu Lalonde,1992-01-31,40000,Senior Staff
11421,Josyula Msuda,1995-09-02,52416,Senior Engineer
11423,Guangming Kopetz,1998-10-13,43947,Staff
11425,Renee Crelier,1990-08-27,40000,Senior Engineer
11441,Marlo Aingworth,1987-03-27,67352,Senior Staff
11446,Naftali Narahara,1999-04-06,40000,Senior Engineer
11449,Kotesh Asser,2000-02-03,61434,Senior Engineer
11451,Eben Rajaraman,1990-05-20,61848,Senior Engineer
11452,Shigehito Luby,2001-08-26,52083,Senior Staff
11459,Duke Suomi,1992-05-02,40000,Senior Staff
11460,Mana Maraist,2001-05-28,45712,Senior Engineer
11469,Guttorm Giaccio,1999-09-08,44625,Senior Engineer
11474,Gennady Akazan,1993-12-29,59016,Engineer
11476,Manton Yoshizawa,1994-01-15,56449,Staff
11479,Shridhar Pleszkun,1999-02-10,78157,Staff
11503,Nathan Picht,2002-04-09,56928,Senior Engineer
11509,Aleksander Feldhoffer,1992-11-11,40000,Senior Engineer
11513,Otmar Mahnke,1998-08-25,82525,Senior Staff
11515,Ulf Basawa,1998-09-21,70182,Staff
11518,Jinxi Oxman,1999-09-22,40000,Senior Staff
11519,Halsur Chinen,1997-06-12,61444,Senior Staff
11523,Yuguang Pezzoli,1998-12-23,64203,Engineer
11524,Xiadong Standera,1996-07-05,41081,Senior Engineer
11527,Alagu Boyle,1999-01-28,60212,Staff
11528,Zito Dolinsky,1987-06-15,44026,Technique Leader
11531,Radhika Motley,1992-11-04,53370,Technique Leader
11533,Vitaly Lorch,1991-08-20,40000,Technique Leader
11537,DAIDA Pehl,1986-07-06,96023,Senior Staff
11540,Chanjung Portugali,2002-07-02,70043,Senior Engineer
11554,Subhash Taubenfeld,1998-07-15,46065,Staff
11555,Kotesh Perfilyeva,1991-10-14,40000,Senior Staff
11567,Teiji Mitzlaff,1996-02-03,86261,Senior Staff
11568,Martins Fujisaki,2000-03-13,54673,Senior Engineer
11573,Pranas Hutton,1995-02-04,46194,Senior Engineer
11575,Godehard Plotkin,2000-05-31,50896,Engineer
11577,Mayumi Deyuan,1998-09-23,40000,Senior Engineer
11581,Patricio Rosenbaum,2001-11-13,46950,Senior Engineer
11587,Shem Zambonelli,1989-04-24,40000,Senior Engineer
11589,Gina Plessier,2001-05-06,58444,Senior Engineer
11595,Takanari Kamber,1992-09-08,68224,Senior Staff
11596,Yannik Gunderson,1995-11-23,54076,Staff
11602,Somnath Malabarba,2001-06-21,58575,Senior Staff
11603,Herb Swen,1994-04-13,69180,Senior Staff
11606,Perry Pepe,1999-09-27,40000,Senior Staff
11607,Tomokazu Foong,1995-04-19,49584,Engineer
11615,Shem Isaak,2000-08-28,46591,Senior Staff
11616,Zhilian Brendel,1998-12-30,41900,Engineer
11624,Adil Gammage,1996-07-15,42001,Senior Engineer
11628,Fan Malinowski,1997-10-23,43966,Senior Engineer
11640,Valeri Coorg,1988-09-26,52520,Senior Engineer
11641,Chikako Rothenberg,1991-06-18,53327,Senior Engineer
11644,Sanjit Zaiane,1995-08-09,80722,Assistant Engineer
11646,Lobel Rubsam,1999-12-15,55411,Engineer
11647,Magy Nitsche,1993-05-11,40000,Senior Engineer
11649,Shen Bernardinello,1992-12-11,40000,Technique Leader
11660,Gill Stenning,1994-11-22,65758,Senior Staff
11664,Oksana Brizzi,1990-09-07,70380,Senior Staff
11667,Kristian Marchegay,1996-09-07,79814,Senior Staff
11673,Henk Felder,1989-06-10,40000,Technique Leader
11676,Valeri Ferriere,1998-07-15,43310,Engineer
11681,Fumitake Benzmuller,1995-08-28,40000,Senior Engineer
11684,Oksana Gide,1995-02-21,68753,Senior Staff
11690,Domenick Raczkowsky,1997-09-23,44420,Staff
11693,Hideo Coorg,1991-08-24,70403,Senior Engineer
11696,Dante Rothe,1994-10-23,51633,Senior Staff
11713,Danel Heusch,2000-10-03,53387,Senior Engineer
11732,Sanjoy Ranft,1996-12-22,40000,Senior Engineer
11733,Leszek Sudbeck,2001-01-11,46092,Senior Engineer
11735,Amalendu Picci,1997-07-14,40000,Senior Staff
11736,Shugo Uchoa,1994-03-07,44127,Senior Engineer
11737,Martina Garnier,1995-07-11,48832,Assistant Engineer
11746,Koichi Marrakchi,1995-11-18,55951,Senior Staff
11748,Lihong Massonet,1996-07-24,54491,Engineer
11751,Jiafu Emiris,1993-11-03,40000,Senior Staff
11756,Abdelwaheb Vakili,1999-11-26,59493,Engineer
11763,Yuriy Liesche,1997-04-18,40000,Engineer
11764,Sanjay Anick,1996-12-15,64875,Senior Engineer
11765,Zorica Junet,2000-07-03,40000,Senior Staff
11769,Chandrasekaran Lampe,2001-10-22,40000,Senior Staff
11770,Arumugam Jakobus,2000-11-29,40000,Senior Engineer
11772,Gaurav Penz,1999-11-07,61295,Engineer
11774,Aron Wroclawski,1998-11-26,40000,Engineer
11778,Dhritiman Fontan,1997-12-28,40000,Senior Engineer
11779,Shunichi Thombley,1996-11-21,40000,Staff
11791,Gal Mamelak,1994-11-15,40000,Senior Engineer
11797,Chenxi Thambidurai,1996-08-30,88050,Senior Staff
11801,Tommaso Dayang,1997-06-12,67265,Senior Staff
11807,Chriss Binding,1992-07-11,40000,Technique Leader
11810,Amabile Bhattacharjee,1992-01-05,41256,Senior Engineer
11811,Herb Boissier,1998-03-28,52695,Senior Staff
11817,Niranjan Markovitch,1993-04-12,50638,Senior Staff
11822,Sastry Madeira,1996-07-07,67396,Staff
11823,Weiyi Iacovou,1995-10-23,72637,Senior Engineer
11829,Chaosheng Pettis,1999-10-11,40000,Assistant Engineer
11832,Arto Zlotek,1996-02-04,40000,Engineer
11836,Ortrud Bakhtari,1989-07-28,40000,Senior Staff
11841,Elvia Bugrara,1996-04-02,90296,Staff
11842,Moto Piazza,1999-12-11,40000,Senior Staff
11844,Shawna Demeyer,1995-01-27,78049,Senior Engineer
11846,Fai Perly,1999-06-22,53448,Senior Engineer
11853,Zeljko Kusakabe,1996-11-17,61941,Senior Staff
11857,Divier Farrag,1986-08-27,94805,Senior Staff
11862,Alejandra Deville,1998-01-20,46011,Senior Engineer
11868,Kwee Demke,1995-04-03,48349,Engineer
11869,Fumino Luca,1996-08-12,62968,Engineer
11871,Nalini Sommen,1998-10-13,67424,Senior Engineer
11872,Cheong Riexinger,2002-02-12,43159,Senior Staff
11876,Leszek Kobuchi,2000-06-07,45372,Senior Engineer
11881,Arra Staelin,1995-04-08,76541,Senior Staff
11888,Badri Azulay,1999-11-28,53720,Senior Staff
11894,Mitchel Validov,1988-06-22,56198,Senior Engineer
11896,Shaunak Benzmuller,1990-07-04,40000,Technique Leader
11897,Cordelia Setlzner,1997-06-16,80049,Senior Staff
11906,Hideo Boguraev,1999-02-07,81324,Engineer
11911,Ashish Mondadori,1995-06-05,40000,Senior Engineer
11915,Miomir Mawatari,2001-06-28,58042,Senior Engineer
11917,Jiakeng VanScheik,1997-03-08,40000,Engineer
11926,Leni Felcyn,1998-09-18,41612,Engineer
11931,Gunilla Chiodo,2000-01-13,73369,Senior Staff
11933,Basil Erman,1992-06-12,56130,Senior Engineer
11938,Aruna Verspoor,1994-07-15,40000,Staff
11940,Ult Anido,1996-11-02,60193,Assistant Engineer
11944,Along Aumann,1994-12-01,52061,Senior Engineer
11945,Limsoon Marakhovsky,1994-01-21,53056,Staff
11948,Yahiko Nergos,2002-05-10,49929,Senior Engineer
11949,Martijn Harbusch,1985-03-11,40000,Technique Leader
11951,Bernt Haumacher,2001-10-13,40000,Senior Engineer
11965,Arup Morrey,1993-10-07,57709,Engineer
11972,Sibyl Beausoleil,1994-04-25,52908,Senior Staff
11983,Jaana Hedayat,1994-10-11,40000,Senior Engineer
11989,Erzsebet Peltason,1989-01-07,40000,Technique Leader
11993,Marit Dalphin,1996-10-22,56505,Senior Staff
11994,Sigeru Fiebach,1999-11-11,49761,Senior Staff
12007,Marko Dehkordi,1996-05-17,40000,Senior Engineer
12011,Zhilian Coorg,1997-07-22,85833,Senior Staff
12015,Kensei Guenter,1999-11-16,42853,Staff
12021,Chikara Rahimi,2000-09-29,40000,Senior Engineer
12023,Chuanyi Eppinger,1994-12-08,40000,Technique Leader
12024,Mayumi Lanzelotte,1997-11-03,65580,Staff
12028,Ingemar Walstra,1997-09-02,51314,Senior Engineer
