emp_no,title,from_date,salary,fullname
10058,Senior Staff,1988-04-25,52787,Berhard McFarlin
10059,Senior Staff,1991-06-26,71218,Alejandro McAlpine
10854,Engineer,1998-07-13,40000,Jagoda Nannarelli
10063,Senior Engineer,1989-04-08,40000,Gino Leonhardt
10066,Senior Engineer,1998-02-25,69736,Kwee Schusler
10858,Senior Engineer,2002-01-01,47847,Kenroku Gonthier
10067,Senior Engineer,1996-03-03,44642,Claudi Stavenow
10070,Technique Leader,1985-10-14,55999,Reuven Garigliano
10871,Staff,1999-06-16,40000,Aram Gilg
10072,Senior Engineer,1995-05-21,40000,Hironoby Sidou
10872,Senior Staff,1996-09-05,40000,Karoline Speel
10873,Staff,1994-03-23,65835,Sukumar Wegerle
10074,Technique Leader,1990-08-13,61714,Mokhtar Bernatsky
10878,Staff,1997-04-25,72102,Lakshmi Deville
10076,Senior Engineer,1996-07-15,47319,Erez Ritzmann
10088,Senior Staff,1993-09-02,65957,Jungsoon Syrzycki
10879,Senior Engineer,1985-08-15,65651,Muzhong Chleq
10882,Engineer,1999-04-29,40000,Fun Heuser
10883,Engineer,1996-12-28,40000,Shimshon Champarnaud
10885,Senior Staff,1991-08-19,78613,Rayond Cronau
10887,Senior Engineer,1989-03-17,69570,Lunjin DeMori
10091,Senior Engineer,2001-11-18,40000,Amabile Gomatam
10900,Senior Engineer,1995-09-07,50054,Ferdinand Prenel
10096,Engineer,1999-01-23,61395,Jayson Mandell
10906,Staff,1998-10-18,66204,Munehiro Carrere
10097,Senior Staff,1996-09-14,44886,Remzi Waschkowski
10909,Senior Engineer,2000-12-26,80935,Georgi Atchley
10913,Staff,1998-10-25,62428,Narain Thummel
10100,Senior Staff,1994-09-21,54398,Hironobu Haraldson
10103,Engineer,1998-01-12,68158,Akemi Birch
10920,Senior Staff,1998-02-23,40000,Ronghao Narahara
10921,Senior Engineer,1995-07-27,72601,Mara Bahi
10924,Senior Staff,1997-08-14,84783,Hironoby Atchley
10106,Senior Engineer,1997-10-26,62928,Eben Aingworth
10126,Senior Staff,1991-09-08,40000,Kayoko Valtorta
10926,Senior Engineer,1995-04-30,43219,Leni Eppinger
10927,Senior Staff,1993-09-12,51819,Gal Scallan
10930,Senior Engineer,1998-11-22,53785,Arch Minakawa
10932,Senior Engineer,1999-09-09,40000,Avishai Picci
10936,Senior Staff,1996-05-08,40000,Mountaz Schicker
10942,Engineer,1996-01-21,40000,Toshimitsu Larfeldt
10943,Senior Engineer,1999-05-22,45890,Berna Skafidas
10944,Senior Engineer,1995-09-07,42872,Remko Zyda
10947,Senior Staff,2001-11-15,43068,Gor Usery
10127,Senior Engineer,1991-05-17,40000,Subir Baja
10949,Senior Staff,1996-06-28,58253,Shigeichiro Wroclawski
10129,Technique Leader,1996-01-16,40000,Armond Peir
10956,Engineer,1995-12-02,40000,Arno Picel
10130,Senior Engineer,1988-06-21,40000,Nishit Casperson
10134,Senior Engineer,1994-12-12,40000,Diederik Siprelle
10965,Senior Staff,1986-07-29,61654,Eckart Braunschweig
10969,Senior Engineer,1994-05-12,40000,Premal Noriega
10974,Senior Engineer,1999-05-17,56005,Muneo Papsdorf
10138,Senior Engineer,2001-03-03,53574,Perry Shimshoni
10150,Senior Engineer,1995-11-16,70122,Zhenbing Perng
10986,Technique Leader,1985-10-11,43900,Masako Schiper
10987,Engineer,1997-05-21,46108,Flemming Baezner
10988,Senior Engineer,1985-06-19,54174,Chinya Deyuan
10989,Senior Staff,1991-07-20,46406,Sumali Candan
10990,Technique Leader,1990-08-06,40000,Shin Foote
10996,Senior Staff,1996-02-07,43564,Matk Rahimi
10153,Assistant Engineer,2000-01-08,54246,Heekeun Majewski
11004,Senior Engineer,1998-01-18,40226,JoAnna Decleir
10157,Senior Engineer,1997-12-10,48770,Nigel Aloisi
11009,Senior Staff,1993-09-09,75111,Alper Axelband
10159,Senior Engineer,1996-06-12,52881,Serif Buescher
11012,Staff,1996-07-06,72092,Taegyun Speckmann
11019,Senior Engineer,1997-05-24,69387,Leon Huttel
11021,Staff,1998-02-02,62670,Srinidhi Henders
11027,Senior Engineer,1996-05-06,40000,Remzi Cappello
11031,Senior Staff,1993-10-24,71654,Ottavia Walstra
11032,Staff,1994-06-06,40000,Erez Schaaf
11037,Senior Engineer,1995-01-28,40000,Lansing Maliniak
11038,Senior Staff,1992-07-15,44993,Jinya Beidas
10160,Senior Staff,2000-12-06,91622,Debatosh Khasidashvili
10163,Senior Staff,1992-02-02,41603,Karsten Szmurlo
11042,Senior Engineer,2000-06-21,40000,Gou Breugel
11048,Senior Staff,1999-05-27,65697,Jaques Demke
10166,Engineer,1996-09-02,51586,Samphel Siegrist
11050,Senior Staff,1991-05-06,52251,Elvis Katiyar
10183,Staff,1996-08-11,40000,Mechthild Bonifati
11051,Senior Engineer,2000-03-26,40000,Przemyslawa Erol
11056,Staff,1997-07-01,79354,Palash Speel
11061,Senior Staff,2002-02-19,81257,Pintsang Erni
11064,Senior Engineer,2002-02-27,48411,Shawna Vieri
11066,Senior Staff,1996-04-30,53496,Shaz Langford
11070,Senior Engineer,1991-07-24,40000,Adib Raney
11071,Senior Engineer,2001-05-23,40000,Kwan Sigstam
11075,Senior Engineer,1998-05-06,76877,Karsten Belinskaya
11079,Senior Engineer,2001-05-26,46239,Piyush Garigliano
11111,Assistant Engineer,1994-12-25,49777,Udi Zastre
11081,Senior Staff,1994-06-17,65686,Barry Boyle
11083,Senior Staff,2000-10-04,90972,Shimshon Ducloy
11084,Senior Engineer,1999-05-31,52121,Greger Senzako
11085,Senior Engineer,1996-02-10,66437,Hailing Thummel
11087,Senior Engineer,1998-03-18,78081,Changho Jayawardene
11089,Senior Staff,1994-08-13,41004,Conal Henders
11112,Staff,1995-04-28,40000,Boaz Mukaidono
11113,Senior Staff,1991-11-30,66401,Shahab Peng
11091,Engineer,1999-09-11,76253,Souichi Ramsay
11092,Staff,1999-04-05,78588,Narain Stamatiou
11121,Senior Engineer,1999-11-01,40000,Vugranam Kakkad
11098,Engineer,1997-01-08,40000,Arnd Covnot
11100,Senior Staff,1993-10-13,40000,Berna Cochrane
11106,Senior Engineer,1997-08-30,71446,Aris Iwayama
11130,Senior Staff,1997-02-17,43172,Xinyu Menhoudj
11132,Senior Engineer,1999-08-30,40000,Kristin Harnett
11133,Technique Leader,1994-03-06,40000,Nalini Azulay
11134,Senior Engineer,2002-05-19,58731,Sachar Rajcani
11296,Senior Engineer,1994-09-26,40000,Hironobu Kenevan
11137,Engineer,1995-03-16,40000,Hugh Luca
11301,Senior Staff,1996-05-23,40000,Mingzeng Oxenboll
11139,Senior Staff,1995-05-11,63596,Bogdan Homond
11143,Engineer,1996-05-09,63264,Yongdong Rosen
11144,Senior Staff,2002-07-19,56144,Carrsten Heinisuo
11146,Senior Staff,1997-08-21,96019,Ishfaq Masand
11147,Engineer,1997-12-04,40000,Ayonca Nitsch
11148,Senior Staff,1997-02-08,56344,Zhanqiu Botman
11158,Senior Engineer,2002-04-20,40000,Masaki Hagimont
11317,Senior Staff,2000-09-07,40000,Shigeaki Hagimont
11319,Assistant Engineer,1998-11-01,40000,Pranas Marrakchi
11320,Senior Staff,1998-04-06,45118,Atilio McAlpine
11162,Senior Engineer,1990-03-28,69873,Kauko Narlikar
11322,Senior Engineer,1999-07-08,43021,Nathalie Pocchiola
11324,Senior Engineer,1985-08-29,54288,Kauko Billingsley
11325,Engineer,1999-01-10,62458,Samphel Rossi
11168,Senior Staff,2001-07-15,72944,Shmuel Tetzlaff
11326,Senior Engineer,1999-02-19,40000,Munenori Plesums
11170,Senior Engineer,1990-06-20,44531,Minghong Cannard
11338,Senior Staff,1998-10-28,82210,Kwangsub Hanratty
11339,Senior Engineer,1989-12-19,40000,Flemming Massonet
11340,Senior Engineer,1998-09-11,48813,Aris Bala
11174,Engineer,1999-06-07,45806,Akhilish Milicia
11343,Senior Engineer,1995-02-27,43306,Susanne Erez
11177,Senior Engineer,1999-09-11,40000,Chrisa dAstous
11347,Senior Engineer,1992-04-19,41524,Anneli Jonsson
11349,Engineer,1999-06-28,46356,Yurii Hammerschmidt
11180,Senior Engineer,1992-06-10,40000,Mitsuyuki Bojadziev
11181,Engineer,1997-11-03,40000,Hausi Cullers
11360,Senior Staff,1997-01-12,63466,Fen Schach
11185,Senior Staff,2000-01-26,40000,Aloys Baezner
11365,Engineer,1997-12-18,56463,Toshimi Shinomoto
11186,Senior Engineer,2000-12-09,40000,Kshitij Stasinski
11189,Senior Staff,1991-09-07,71798,Dante Bodoff
11373,Senior Staff,2000-07-18,45912,Yongmao Keohane
11376,Senior Staff,1994-03-14,46964,Valery Suomi
11192,Engineer,1998-04-07,40000,Apostol Bahr
11380,Senior Engineer,2001-04-18,53345,Kenroku Pelc
11197,Senior Staff,1989-09-12,88741,Tadahiro Fordan
11385,Engineer,1999-08-08,40000,Shiv Ullian
11386,Senior Engineer,1993-11-29,47726,Alselm Assaf
11393,Senior Engineer,1992-04-30,40000,Junsik Junot
11201,Staff,1995-10-31,49454,Jouko Masaki
11396,Engineer,1997-02-04,48918,Anneke Servieres
11398,Senior Staff,2001-09-07,44625,Oscar Peir
11401,Staff,1995-04-15,52021,Huan Merey
11204,Technique Leader,1985-09-18,40000,Diederik Covnot
11404,Technique Leader,1990-09-25,42907,Bedrich Borovoy
11406,Senior Staff,1996-03-13,71834,Eberhardt Gini
11410,Engineer,1999-10-25,45665,Gro Vendrig
11207,Engineer,1999-01-31,49728,Saeed Gips
11415,Engineer,1996-12-07,40000,Sanjiv Anido
11208,Technique Leader,1994-11-17,83660,Saniya Valtorta
11417,Technique Leader,1992-12-21,74114,Anneli Cyne
11418,Senior Staff,1991-12-30,40000,Satosi Cooley
11420,Senior Staff,1992-01-31,40000,Tsutomu Lalonde
11421,Senior Engineer,1995-09-02,52416,Josyula Msuda
11423,Staff,1998-10-13,43947,Guangming Kopetz
11211,Senior Engineer,1985-09-17,72668,Yurij Rissland
11425,Senior Engineer,1990-08-27,40000,Renee Crelier
11213,Technique Leader,1999-02-04,40000,Vugranam Munoz
11217,Senior Engineer,1990-03-11,40000,Kellie Mawatari
11229,Senior Engineer,2000-07-25,48214,Gretta Ramamoorthy
11441,Senior Staff,1987-03-27,67352,Marlo Aingworth
11446,Senior Engineer,1999-04-06,40000,Naftali Narahara
11232,Senior Staff,2000-08-01,43863,Hidefumi Crelier
11449,Senior Engineer,2000-02-03,61434,Kotesh Asser
11451,Senior Engineer,1990-05-20,61848,Eben Rajaraman
11452,Senior Staff,2001-08-26,52083,Shigehito Luby
11459,Senior Staff,1992-05-02,40000,Duke Suomi
11460,Senior Engineer,2001-05-28,45712,Mana Maraist
11469,Senior Engineer,1999-09-08,44625,Guttorm Giaccio
11474,Engineer,1993-12-29,59016,Gennady Akazan
11476,Staff,1994-01-15,56449,Manton Yoshizawa
11479,Staff,1999-02-10,78157,Shridhar Pleszkun
11503,Senior Engineer,2002-04-09,56928,Nathan Picht
11506,Staff,1996-04-08,89747,Rance Picel
11509,Senior Engineer,1992-11-11,40000,Aleksander Feldhoffer
11513,Senior Staff,1998-08-25,82525,Otmar Mahnke
11515,Staff,1998-09-21,70182,Ulf Basawa
11518,Senior Staff,1999-09-22,40000,Jinxi Oxman
11519,Senior Staff,1997-06-12,61444,Halsur Chinen
11233,Senior Engineer,1998-12-14,46070,Sanjit Waschkowski
11523,Engineer,1998-12-23,64203,Yuguang Pezzoli
11524,Senior Engineer,1996-07-05,41081,Xiadong Standera
11240,Engineer,1997-01-06,61739,Kiam Condotta
11527,Staff,1999-01-28,60212,Alagu Boyle
11528,Technique Leader,1987-06-15,44026,Zito Dolinsky
11531,Technique Leader,1992-11-04,53370,Radhika Motley
11533,Technique Leader,1991-08-20,40000,Vitaly Lorch
11243,Assistant Engineer,2000-01-20,47598,Udi Desikan
11537,Senior Staff,1986-07-06,96023,DAIDA Pehl
11249,Engineer,1994-09-22,43324,Randi Cyre
11540,Senior Engineer,2002-07-02,70043,Chanjung Portugali
11251,Senior Staff,1993-06-15,69432,Bezalel Chinal
11554,Staff,1998-07-15,46065,Subhash Taubenfeld
11555,Senior Staff,1991-10-14,40000,Kotesh Perfilyeva
11253,Senior Engineer,2000-05-22,40000,Koldo Pokrovskii
11254,Staff,1998-12-19,50562,Danel Rindone
11258,Senior Staff,1998-03-28,40000,Aris Maccarone
11266,Senior Engineer,2002-05-12,40000,Florina Rohrbach
11567,Senior Staff,1996-02-03,86261,Teiji Mitzlaff
11568,Senior Engineer,2000-03-13,54673,Martins Fujisaki
11573,Senior Engineer,1995-02-04,46194,Pranas Hutton
11575,Engineer,2000-05-31,50896,Godehard Plotkin
11267,Senior Engineer,1996-04-09,65990,Shaunak Zaumen
11268,Senior Engineer,1995-10-25,40000,Aimee Petersohn
11577,Senior Engineer,1998-09-23,40000,Mayumi Deyuan
11274,Staff,1999-12-13,40000,Masanao Nicolson
11581,Senior Engineer,2001-11-13,46950,Patricio Rosenbaum
11587,Senior Engineer,1989-04-24,40000,Shem Zambonelli
11589,Senior Engineer,2001-05-06,58444,Gina Plessier
11275,Senior Engineer,1998-04-25,58382,Hitomi Eppinger
11289,Senior Engineer,1996-02-23,40000,Chuanti Cherinka
11595,Senior Staff,1992-09-08,68224,Takanari Kamber
11596,Staff,1995-11-23,54076,Yannik Gunderson
11602,Senior Staff,2001-06-21,58575,Somnath Malabarba
11603,Senior Staff,1994-04-13,69180,Herb Swen
11606,Senior Staff,1999-09-27,40000,Perry Pepe
11607,Engineer,1995-04-19,49584,Tomokazu Foong
11615,Senior Staff,2000-08-28,46591,Shem Isaak
11616,Engineer,1998-12-30,41900,Zhilian Brendel
11290,Engineer,1999-05-13,65034,Visit Dredge
11292,Senior Engineer,1996-02-12,40000,Souichi Sichman
11624,Senior Engineer,1996-07-15,42001,Adil Gammage
11294,Senior Engineer,1999-06-13,43768,Tru Segond
11628,Senior Engineer,1997-10-23,43966,Fan Malinowski
11295,Senior Staff,1990-05-15,66622,Abdelkader Lanzelotte
11667,Senior Staff,1996-09-07,79814,Kristian Marchegay
11640,Senior Engineer,1988-09-26,52520,Valeri Coorg
11641,Senior Engineer,1991-06-18,53327,Chikako Rothenberg
11644,Assistant Engineer,1995-08-09,80722,Sanjit Zaiane
11646,Engineer,1999-12-15,55411,Lobel Rubsam
11647,Senior Engineer,1993-05-11,40000,Magy Nitsche
11649,Technique Leader,1992-12-11,40000,Shen Bernardinello
11673,Technique Leader,1989-06-10,40000,Henk Felder
11660,Senior Staff,1994-11-22,65758,Gill Stenning
11676,Engineer,1998-07-15,43310,Valeri Ferriere
11664,Senior Staff,1990-09-07,70380,Oksana Brizzi
11681,Senior Engineer,1995-08-28,40000,Fumitake Benzmuller
11684,Senior Staff,1995-02-21,68753,Oksana Gide
11690,Staff,1997-09-23,44420,Domenick Raczkowsky
11853,Senior Staff,1996-11-17,61941,Zeljko Kusakabe
11857,Senior Staff,1986-08-27,94805,Divier Farrag
11693,Senior Engineer,1991-08-24,70403,Hideo Coorg
11862,Senior Engineer,1998-01-20,46011,Alejandra Deville
11864,Staff,1995-11-02,52517,Pradeep Kriebel
11696,Senior Staff,1994-10-23,51633,Dante Rothe
11868,Engineer,1995-04-03,48349,Kwee Demke
11869,Engineer,1996-08-12,62968,Fumino Luca
11871,Senior Engineer,1998-10-13,67424,Nalini Sommen
11872,Senior Staff,2002-02-12,43159,Cheong Riexinger
11713,Senior Engineer,2000-10-03,53387,Danel Heusch
11876,Senior Engineer,2000-06-07,45372,Leszek Kobuchi
11881,Senior Staff,1995-04-08,76541,Arra Staelin
11888,Senior Staff,1999-11-28,53720,Badri Azulay
11894,Senior Engineer,1988-06-22,56198,Mitchel Validov
11896,Technique Leader,1990-07-04,40000,Shaunak Benzmuller
11897,Senior Staff,1997-06-16,80049,Cordelia Setlzner
11732,Senior Engineer,1996-12-22,40000,Sanjoy Ranft
11906,Engineer,1999-02-07,81324,Hideo Boguraev
11911,Senior Engineer,1995-06-05,40000,Ashish Mondadori
11915,Senior Engineer,2001-06-28,58042,Miomir Mawatari
11917,Engineer,1997-03-08,40000,Jiakeng VanScheik
11733,Senior Engineer,2001-01-11,46092,Leszek Sudbeck
11735,Senior Staff,1997-07-14,40000,Amalendu Picci
11926,Engineer,1998-09-18,41612,Leni Felcyn
11736,Senior Engineer,1994-03-07,44127,Shugo Uchoa
11931,Senior Staff,2000-01-13,73369,Gunilla Chiodo
11737,Assistant Engineer,1995-07-11,48832,Martina Garnier
11933,Senior Engineer,1992-06-12,56130,Basil Erman
11746,Senior Staff,1995-11-18,55951,Koichi Marrakchi
11938,Staff,1994-07-15,40000,Aruna Verspoor
11940,Assistant Engineer,1996-11-02,60193,Ult Anido
11944,Senior Engineer,1994-12-01,52061,Along Aumann
11945,Staff,1994-01-21,53056,Limsoon Marakhovsky
11748,Engineer,1996-07-24,54491,Lihong Massonet
11948,Senior Engineer,2002-05-10,49929,Yahiko Nergos
11949,Technique Leader,1985-03-11,40000,Martijn Harbusch
11951,Senior Engineer,2001-10-13,40000,Bernt Haumacher
11965,Engineer,1993-10-07,57709,Arup Morrey
11972,Senior Staff,1994-04-25,52908,Sibyl Beausoleil
11980,Staff,1998-02-18,58241,Yechezkel Pews
11983,Senior Engineer,1994-10-11,40000,Jaana Hedayat
11989,Technique Leader,1989-01-07,40000,Erzsebet Peltason
11993,Senior Staff,1996-10-22,56505,Marit Dalphin
11994,Senior Staff,1999-11-11,49761,Sigeru Fiebach
12007,Senior Engineer,1996-05-17,40000,Marko Dehkordi
11751,Senior Staff,1993-11-03,40000,Jiafu Emiris
12011,Senior Staff,1997-07-22,85833,Zhilian Coorg
12015,Staff,1999-11-16,42853,Kensei Guenter
11756,Engineer,1999-11-26,59493,Abdelwaheb Vakili
12021,Senior Engineer,2000-09-29,40000,Chikara Rahimi
12023,Technique Leader,1994-12-08,40000,Chuanyi Eppinger
12024,Staff,1997-11-03,65580,Mayumi Lanzelotte
12028,Senior Engineer,1997-09-02,51314,Ingemar Walstra
11763,Engineer,1997-04-18,40000,Yuriy Liesche
12030,Staff,1996-06-24,40000,Shuky Cromarty
12034,Staff,1995-11-22,40148,Aemilian Piazza
11764,Senior Engineer,1996-12-15,64875,Sanjay Anick
11765,Senior Staff,2000-07-03,40000,Zorica Junet
11769,Senior Staff,2001-10-22,40000,Chandrasekaran Lampe
12036,Senior Staff,1995-09-05,67143,Mads Ratzlaff
12037,Senior Staff,1992-09-30,47805,Arunas Katzenelson
11770,Senior Engineer,2000-11-29,40000,Arumugam Jakobus
12040,Senior Staff,1998-09-28,64813,Bluma Kermarrec
11772,Engineer,1999-11-07,61295,Gaurav Penz
12043,Staff,2000-01-05,49009,Masaki Lubachevsky
11774,Engineer,1998-11-26,40000,Aron Wroclawski
